3,563380281690141 3,704225352112676 5,76530612244898
3,5704225352112675 3,76056338028169 5,853211009174312
3,507042253521127 3,6549295774647885 5,930693069306931
3,556338028169014 3,704225352112676 6,11214953271028
3,5140845070422535 3,591549295774648 5,785714285714286
3,4782608695652173 3,5869565217391304 5,742268041237113
3,5460992907801416 3,673758865248227 5,65625
3,563380281690141 3,683098591549296 5,739583333333333
3,49645390070922 3,6666666666666665 5,967032967032967
3,5673758865248226 3,6879432624113475 5,87037037037037
3,595744680851064 3,702127659574468 5,5473684210526315
3,5492957746478875 3,6901408450704225 5,847619047619047
3,507142857142857 3,607142857142857 5,77319587628866
3,4577464788732395 3,683098591549296 6,101010101010101
3,5460992907801416 3,7163120567375887 5,907216494845361
3,556338028169014 3,683098591549296 5,771428571428571
3,631205673758865 3,74468085106383 5,613636363636363
3,591549295774648 3,647887323943662 6,061855670103093
3,5140845070422535 3,6338028169014085 5,857142857142857
3,49645390070922 3,7163120567375887 5,901960784313726
3,5422535211267605 3,6619718309859155 5,5212765957446805
3,4539007092198584 3,5815602836879434 5,691588785046729
3,5492957746478875 3,6901408450704225 5,823529411764706
3,556338028169014 3,6971830985915495 5,932038834951456
3,5673758865248226 3,6808510638297873 5,979381443298969
3,471830985915493 3,6690140845070425 6,040816326530612
3,584507042253521 3,6619718309859155 5,99
3,584507042253521 3,647887323943662 5,887755102040816
3,612676056338028 3,795774647887324 6,17
3,595744680851064 3,6950354609929077 5,650943396226415
